"CODIGO_MACRO","NOME_MACRO","CODIGO_UF","UF","NOME_UF","CODIGO_MESO","NOME_MESO","CODIGO_MICRO","NOME_MICRO","COD_MUN_TSE","COD_MUN_IBGE","NOME_MUNICIPIO"
"01","NORTE","12","AC","ACRE","02","VALE DO ACRE","004","RIO BRANCO","01120","1200013","ACRELÂNDIA"
"01","NORTE","12","AC","ACRE","02","VALE DO ACRE","005","BRASILÉIA","01570","1200054","ASSIS BRASIL"
"01","NORTE","12","AC","ACRE","02","VALE DO ACRE","005","BRASILÉIA","01058","1200104","BRASILÉIA"
"01","NORTE","12","AC","ACRE","02","VALE DO ACRE","004","RIO BRANCO","01007","1200138","BUJARI"
"01","NORTE","12","AC","ACRE","02","VALE DO ACRE","004","RIO BRANCO","01015","1200179","CAPIXABA"
"01","NORTE","12","AC","ACRE","01","VALE DO JURUÁ","001","CRUZEIRO DO SUL","01074","1200203","CRUZEIRO DO SUL"
"01","NORTE","12","AC","ACRE","02","VALE DO ACRE","005","BRASILÉIA","01112","1200252","EPITACIOLÂNDIA"
"01","NORTE","12","AC","ACRE","01","VALE DO JURUÁ","002","TARAUACÁ","01139","1200302","FEIJÓ"
"01","NORTE","12","AC","ACRE","01","VALE DO JURUÁ","002","TARAUACÁ","01104","1200328","JORDÃO"
"01","NORTE","12","AC","ACRE","02","VALE DO ACRE","003","SENA MADUREIRA","01554","1200344","MANOEL URBANO"
"01","NORTE","12","AC","ACRE","01","VALE DO JURUÁ","001","CRUZEIRO DO SUL","01040","1200351","MARECHAL THAUMATURGO"
"01","NORTE","12","AC","ACRE","01","VALE DO JURUÁ","001","CRUZEIRO DO SUL","01090","1200336","MÂNCIO LIMA"
"01","NORTE","12","AC","ACRE","02","VALE DO ACRE","004","RIO BRANCO","01511","1200385","PLÁCIDO DE CASTRO"
"01","NORTE","12","AC","ACRE","02","VALE DO ACRE","004","RIO BRANCO","01023","1200807","PORTO ACRE"
"01","NORTE","12","AC","ACRE","01","VALE DO JURUÁ","001","CRUZEIRO DO SUL","01066","1200393","PORTO WALTER"
"01","NORTE","12","AC","ACRE","02","VALE DO ACRE","004","RIO BRANCO","01392","1200401","RIO BRANCO"
"01","NORTE","12","AC","ACRE","01","VALE DO JURUÁ","001","CRUZEIRO DO SUL","01082","1200427","RODRIGUES ALVES"
"01","NORTE","12","AC","ACRE","02","VALE DO ACRE","003","SENA MADUREIRA","01031","1200435","SANTA ROSA DO PURUS"
"01","NORTE","12","AC","ACRE","02","VALE DO ACRE","003","SENA MADUREIRA","01457","1200500","SENA MADUREIRA"
"01","NORTE","12","AC","ACRE","02","VALE DO ACRE","004","RIO BRANCO","01538","1200450","SENADOR GUIOMARD"
"01","NORTE","12","AC","ACRE","01","VALE DO JURUÁ","002","TARAUACÁ","01473","1200609","TARAUACÁ"
"01","NORTE","12","AC","ACRE","02","VALE DO ACRE","005","BRASILÉIA","01490","1200708","XAPURI"
"02","NORDESTE","27","AL","ALAGOAS","03","LESTE ALAGOANO","012","SÃO MIGUEL DOS CAMPOS","27030","2700201","ANADIA"
"02","NORDESTE","27","AL","ALAGOAS","02","AGRESTE ALAGOANO","006","ARAPIRACA","27057","2700300","ARAPIRACA"
"02","NORDESTE","27","AL","ALAGOAS","03","LESTE ALAGOANO","009","MATA ALAGOANA","27073","2700409","ATALAIA"
