                       tract_id dominant_source dominant_weight top3_weight
310620005620001 310620005620001             111     0.010461496 0.018365737
310620005620002 310620005620002             111     0.005497978 0.011181190
310620005620004 310620005620004             111     0.004716866 0.013358143
310620005620005 310620005620005             111     0.007747483 0.015459159
310620005620006 310620005620006             111     0.006740354 0.015614922
310620005620007 310620005620007             106     0.009912252 0.022203894
310620005620008 310620005620008              89     0.109325916 0.117001706
310620005620010 310620005620010              96     0.012199985 0.021731737
310620005620011 310620005620011              96     0.004133806 0.009849987
310620005620012 310620005620012              96     0.003394257 0.009701328
310620005620013 310620005620013             112     0.004695218 0.010743080
310620005620014 310620005620014             112     0.003192146 0.008077522
310620005620015 310620005620015             112     0.001522981 0.004396355
310620005620016 310620005620016             135     0.006639510 0.009805193
310620005620017 310620005620017             135     0.006916875 0.011455742
                 entropy effective_n_sources herfindahl
310620005620001 4.717605          111.899957 0.02445097
310620005620002 4.956682          142.121406 0.01392612
310620005620004 5.074227          159.848505 0.01035758
310620005620005 4.389875           80.630348 0.04163399
310620005620006 4.554450           95.054448 0.02830959
310620005620007 4.390568           80.686203 0.03538973
310620005620008 2.211143            9.126142 0.43301790
310620005620010 4.188603           65.930648 0.05183019
310620005620011 4.869863          130.303086 0.01482344
310620005620012 4.943495          140.259561 0.01291513
310620005620013 5.031441          153.153587 0.01137874
310620005620014 4.942442          140.112047 0.01379147
310620005620015 4.930646          138.468935 0.01363289
310620005620016 4.892300          133.259701 0.01980244
310620005620017 5.095819          163.337515 0.01190165
                mean_travel_time_weighted
310620005620001                        NA
310620005620002                        NA
310620005620004                        NA
310620005620005                        NA
310620005620006                        NA
310620005620007                        NA
310620005620008                        NA
310620005620010                        NA
310620005620011                        NA
310620005620012                        NA
310620005620013                        NA
310620005620014                        NA
310620005620015                        NA
310620005620016                        NA
310620005620017                        NA

... (5109 rows total)
